,To_State_0,To_State_1,To_State_2,To_State_3,To_State_4,To_State_5,To_State_6,To_State_7,To_State_8,To_State_9,To_State_10
From_State_0,0.1253095655925817,1.8959181133242738e-18,0.07700678171011599,4.616037415827236e-13,0.0,0.016605081413480077,0.6046528400750433,0.03595008218337164,0.004801194459667801,6.734780681497766e-47,0.13567445456527802
From_State_1,4.27924663315926e-53,0.7381909650699665,0.0032183248813859662,0.0827900806336342,0.0,0.02301195760079539,5.0155830526543875e-82,1.4028439063759672e-208,0.0,0.15278556875695382,3.103057264119532e-06
From_State_2,0.10882685271038774,0.0320068097687225,0.1013848703544874,0.05664126547954418,0.0022889750022710522,0.041678979699062764,0.48892640294064266,0.013082466851748615,0.0045955935791364535,3.2564130044183178e-12,0.15056778361074005
From_State_3,0.001607122279207535,0.17911915807647072,0.010832040702358587,0.7230420276521545,0.0,0.014175212898481962,0.011847119901746138,5.027194750480061e-277,1.632923048465781e-240,0.059377318489580576,3.502411335558458e-53
From_State_4,0.0,0.0,0.33333191035935616,0.0,0.33333191022360015,0.0,0.0,0.0,0.33333617941704374,0.0,0.0
From_State_5,0.07514439174201887,0.25973325380155277,0.05862919408880064,0.11833923037779176,0.0,0.05049153944810787,0.16655422213904433,0.05046832367000177,0.05035266555699151,0.07363906039501829,0.09664811878067213
From_State_6,0.09230224217092461,3.67049919743673e-55,0.05635009284544548,0.0014202985458091745,0.0,0.012432145589534788,0.6981966051671208,0.013462185646620172,0.0005968749777672778,1.3663629014149269e-41,0.1252395550567778
From_State_7,0.013702076537519174,1.705688489400621e-220,0.0018298029294247914,3.8096083673823624e-212,1.6582914104226694e-100,0.005390523468883233,0.04542579018562947,0.8387107487695702,0.09214153374908102,2.1748705584718532e-243,0.0027995243598922404
From_State_8,0.01554893909414257,1.881251590491763e-178,1.0330067074026265e-57,3.074292573582997e-207,4.345543057522814e-278,0.019890157570097777,3.911906520244178e-34,0.7138671008955926,0.25069380244016715,2.434143129227937e-277,5.858740567599318e-18
From_State_9,1.790626406671423e-72,0.6676075989640143,0.003453807090114359,0.10773916201830203,0.0,0.030238402506859136,3.1148285316009724e-79,9.86024349854733e-309,0.0,0.1909610294207101,1.1410435947514398e-47
From_State_10,0.07386188066791359,2.6247493938350734e-17,0.08161571632953166,0.004217583837214902,0.0,0.013523827399864376,0.527234640887647,1.0997634023288635e-25,2.0317412445116056e-56,7.487847499579598e-60,0.29954635087782844
