n_states,log_likelihood,aic,bic
3,-inf,inf,inf
4,-inf,inf,inf
5,-inf,inf,inf
6,-inf,inf,inf
7,-inf,inf,inf
8,-inf,inf,inf
9,-inf,inf,inf
10,-inf,inf,inf
