,To_State_0,To_State_1,To_State_2,To_State_3,To_State_4,To_State_5,To_State_6,To_State_7,To_State_8,To_State_9
From_State_0,0.8043454708376071,0.02471258210728967,0.06943037821037569,0.018746181951865226,0.06446895015959372,3.872739315381315e-242,1.4933235359671476e-87,0.0,0.003719843925403368,0.01457659280786535
From_State_1,0.0662574208549133,0.8500355895784407,0.06819992562424498,0.013990858274832174,0.0013865929414125509,5.836076856300487e-257,2.9118217379217787e-219,0.0,1.7174226278017685e-87,0.00012961272615648754
From_State_2,0.452059410691486,0.23861684935005292,0.22833979695369,0.04215470838931314,0.014538782251035824,3.3447583432920104e-260,7.372469825328766e-102,0.0,0.005100096915982482,0.019190355448439715
From_State_3,0.21218697019053348,0.11726799491413167,0.10261676835029025,0.0691725455633776,0.10954497832509652,0.07210699696188179,0.2015802495717631,0.0,0.05370515995661222,0.061818336166313395
From_State_4,0.14085935479277018,0.0010650323584270828,0.009472003124964639,0.027863317217993965,0.23779269894814195,0.00173453672360135,0.5004703910773253,0.0,0.0039825617639827355,0.07676010399279266
From_State_5,6.609849187909544e-238,2.0754916161527273e-297,2.1073531310945286e-258,0.014552567316940178,0.001192637443546085,0.8528372918913838,2.4538490224557402e-79,0.0,0.05954648283684614,0.07187102051128384
From_State_6,2.936773198201548e-98,1.4722159946842955e-223,3.790425252680435e-87,0.016085916577791022,0.15483957383880656,3.1212974610843504e-55,0.7468126920806549,0.0,0.022530657594065053,0.05973115990868248
From_State_7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
From_State_8,0.008730499650800819,1.6020599993102177e-120,4.602233688116808e-13,0.010203350424432402,0.009616568832939045,0.09423427127451775,0.07669484682939189,0.0,0.7562787461742646,0.044241716813193395
From_State_9,0.0803048235141564,4.1688065990755684e-05,0.006780515714540817,0.03551534843238785,0.12745683067373142,0.23629256590948403,0.34790303675420203,0.0,0.08957484489379036,0.07613034604171644
