n_states,log_likelihood,aic,bic
3,-25181.441598398673,50438.883196797346,50730.27029853404
4,-15219.98379318532,30541.96758637064,30933.039749227777
5,-11961.498732955726,24050.997465911452,24541.754689889036
6,-8179.394398627966,16512.788797255933,17103.231082353963
7,-3543.085761218647,7266.171522437294,7956.298868655768
8,-3667.0143036228324,7540.028607245665,8329.841014584586
9,-345.35412888015674,922.7082577603135,1812.2057262196806
10,2461.8346061153907,-4665.669212230781,-3676.486682650968
