HiddenState,Counts,Min_Magnitude,Avg_Magnitude,Max_Magnitude,Min_Depth,Avg_Depth,Max_Depth,Min_Distance,Avg_Distance,Max_Distance,Min_Time,Avg_Time,Max_Time,Num_Serious_Events
0,3436,1.6,3.5382130384167634,4.6,0.1,15.135972060535506,55.8,2.845111432988457,130.29336654843868,336.79910733712336,0.0,0.5364650029103609,3.8402777777777777,0
1,1637,1.9,3.804886988393403,4.8,1.1,15.321136224801467,50.4,7.559188442519303,120.27589184791825,217.09702102257384,0.0,0.00917922351184416,0.06597222222222222,0
2,520,4.2,4.945576923076922,5.5,0.9,17.622884615384613,68.0,14.116385616248085,136.74472797762795,339.70934564663764,0.0,0.2681049679487179,1.8840277777777779,6
3,304,5.0,5.9516447368421055,7.1,4.1,52.91907894736842,312.0,60.72626644331242,196.7280240275384,610.0073981327728,0.0,0.6690401133040936,6.916666666666667,133
4,1316,2.5,4.2332826747720365,5.0,1.2,37.8080547112462,145.4,6.068217042807529,150.54283621090516,370.89280875163246,0.0,1.7665880403579872,9.065972222222221,0
5,2160,1.3,3.4458333333333333,4.7,1.1,17.98134259259259,94.6,2.845111432988457,135.6193337096846,366.00560566607953,0.0,0.7520740097736626,6.070138888888889,0
6,4394,1.5,3.4593081474738283,4.5,0.6,13.96636322257624,42.0,1.7161154451699197,135.1244366393626,357.53647871702714,0.0,0.5806783555859,3.8041666666666667,0
7,1,7.3,7.3,7.3,8.0,8.0,8.0,105.66171229491826,105.66171229491826,105.66171229491826,0.0,0.0,0.0,1
8,1338,1.6,3.3433482810164423,4.8,1.8,10.545142002989536,23.0,83.96780040563306,102.21416203608636,122.49940151662275,0.0,0.018871449925261585,0.13402777777777777,0
9,699,4.0,5.0487839771101575,5.5,1.0,41.045207439198855,219.4,39.507326058689024,172.56185826664918,447.6804872551048,0.0,0.785048084565252,6.995833333333334,4
