,To_State_0,To_State_1,To_State_2,To_State_3,To_State_4,To_State_5
From_State_0,0.5023481723757158,0.0005183208147655681,0.0,0.28763763427420325,0.16914026032117527,0.04035561221413993
From_State_1,0.4865794701084695,0.2500000002486958,0.0,0.0,0.2634205296428346,0.0
From_State_2,0.0,0.0,0.0,0.0,0.0,1.0
From_State_3,0.24582278096304755,0.0,0.0,0.5881312377803867,0.136232081197863,0.02981390005870277
From_State_4,0.3773697061415809,0.0,0.0,0.30612126027930053,0.26029358180881,0.056215451770308476
From_State_5,0.3264847007912855,0.0,0.0,0.2941306544552427,0.27366964250246506,0.10571500225100673
