HiddenState,Counts,Min_Magnitude,Avg_Magnitude,Max_Magnitude,Min_Depth,Avg_Depth,Max_Depth,Min_Distance,Avg_Distance,Max_Distance,Min_Time,Avg_Time,Max_Time,Num_Serious_Events
0,5402,3.3,3.9411699370603483,4.5,0.1,20.338134024435394,110.5,7.238947762412719,139.8232478062568,366.00560566607953,0.0,0.6160029464395903,8.801388888888889,0
1,4,7.0,7.025,7.1,44.1,94.05,190.9,189.868462915043,285.14024531723123,347.1510823194014,0.005555555555555556,0.9850694444444444,2.584722222222222,3
2,1,7.3,7.3,7.3,8.0,8.0,8.0,105.66171229491826,105.66171229491826,105.66171229491826,0.0,0.0,0.0,1
3,7490,1.3,3.1329372496662216,3.6,0.6,12.53403204272363,66.5,1.7161154451699197,120.83991020354506,335.5489959119531,0.0,0.5384663811007269,8.175,0
4,2385,3.9,4.704696016771488,5.2,1.0,28.245953878406713,152.1,14.116385616248085,150.8747892409166,447.6804872551048,0.0,0.6679428721174004,9.065972222222221,0
5,523,5.0,5.695793499043977,7.1,0.9,45.149521988527724,312.0,59.98173568963495,184.07527813749448,610.0073981327728,0.0,0.6083877735287869,6.995833333333334,140
